,flight_number,airline_iata,dep_time_utc,dep_estimated_utc,arr_time_utc,arr_estimated_utc,dep_country_code,arr_country_code,domestic,international,delayed
195,5532,EK,2023-10-05 05:05,2023-10-05 06:15,2023-10-05 06:35,2023-10-05 07:45,AU,AU,True,False,70
196,1734,NZ,2023-10-05 05:35,2023-10-05 06:40,2023-10-05 07:05,2023-10-05 08:10,AU,AU,True,False,65
197,534,QF,2023-10-05 05:35,2023-10-05 06:40,2023-10-05 07:05,2023-10-05 08:10,AU,AU,True,False,65
198,5890,QF,2023-10-05 00:55,2023-10-05 01:51,2023-10-05 02:40,2023-10-05 03:50,AU,AU,True,False,56
199,890,JQ,2023-10-05 00:55,2023-10-05 01:51,2023-10-05 02:40,2023-10-05 03:50,AU,AU,True,False,56
200,40,5J,2023-10-05 01:20,2023-10-05 01:55,2023-10-05 09:55,2023-10-05 10:51,AU,PH,False,True,35
201,19,QF,2023-10-05 02:20,2023-10-05 03:14,2023-10-05 10:50,2023-10-05 11:45,AU,PH,False,True,54
202,4866,LA,2023-10-05 01:25,2023-10-05 02:00,2023-10-05 06:25,2023-10-05 07:00,AU,AU,True,False,35
203,7388,NZ,2023-10-05 01:25,2023-10-05 02:00,2023-10-05 06:25,2023-10-05 07:00,AU,AU,True,False,35
204,5577,EK,2023-10-05 01:25,2023-10-05 02:00,2023-10-05 06:25,2023-10-05 07:00,AU,AU,True,False,35
205,649,QF,2023-10-05 01:25,2023-10-05 02:00,2023-10-05 06:25,2023-10-05 07:00,AU,AU,True,False,35
206,6463,ZL,2023-10-04 21:40,2023-10-05 02:00,2023-10-04 23:10,,AU,AU,True,False,260
207,890,NH,2023-10-05 02:00,2023-10-05 02:13,2023-10-05 11:35,2023-10-05 12:06,AU,JP,False,True,31
208,4570,TK,2023-10-05 02:00,2023-10-05 02:13,2023-10-05 11:35,2023-10-05 12:06,AU,JP,False,True,31
209,7402,VA,2023-10-05 02:00,2023-10-05 02:13,2023-10-05 11:35,2023-10-05 12:06,AU,JP,False,True,31
210,8782,LY,2023-10-05 00:00,2023-10-05 02:01,2023-10-05 14:10,2023-10-05 16:45,AU,ZA,False,True,121
211,63,QF,2023-10-05 00:00,2023-10-05 02:01,2023-10-05 14:10,2023-10-05 16:45,AU,ZA,False,True,121
212,5694,LA,2023-10-05 01:50,2023-10-05 03:04,2023-10-05 03:45,2023-10-05 04:59,AU,AU,True,False,74
213,723,JQ,2023-10-05 01:50,2023-10-05 03:04,2023-10-05 03:45,2023-10-05 04:59,AU,AU,True,False,74
214,5723,QF,2023-10-05 01:50,2023-10-05 03:04,2023-10-05 03:45,2023-10-05 04:59,AU,AU,True,False,74
